Iteration,MinGene,MaxGene,MutateChangePopulation,MaxMutationRate,AverageFitness
113,-0.0281,0.0281,0.4450,0.2343,0.0817
114,-0.0163,0.0163,0.3847,0.2003,0.1283
115,-0.0232,0.0232,0.3812,0.2339,0.0620
116,-0.0413,0.0413,0.4339,0.2406,0.0443
117,-0.0396,0.0396,0.4506,0.2172,0.0681
118,-0.0274,0.0274,0.4014,0.2514,0.0621
119,-0.0318,0.0318,0.4562,0.2727,0.0521
120,-0.0277,0.0277,0.4962,0.2202,0.0280
121,-0.0392,0.0392,0.4332,0.2904,0.0907
122,-0.0306,0.0306,0.5078,0.2223,0.0584
123,-0.0439,0.0439,0.4017,0.2412,0.0404
124,-0.0105,0.0105,0.4684,0.2999,0.1055
125,-0.0425,0.0425,0.4371,0.2128,0.0694
126,-0.0125,0.0125,0.4476,0.2720,0.1017
127,-0.0295,0.0295,0.4949,0.2734,0.0470
128,-0.0174,0.0174,0.4581,0.2635,0.0926
129,-0.0128,0.0128,0.4917,0.2060,0.1033
130,-0.0106,0.0106,0.4027,0.2887,0.0926
131,-0.0471,0.0471,0.5044,0.2214,0.0644
132,-0.0111,0.0111,0.4000,0.2959,0.0804
133,-0.0498,0.0498,0.4929,0.2700,0.0606
134,-0.0135,0.0135,0.4425,0.2119,0.0736
135,-0.0458,0.0458,0.3707,0.2235,0.0576
136,-0.0230,0.0230,0.4977,0.2710,0.0963
137,-0.0403,0.0403,0.4817,0.2481,0.0800
138,-0.0405,0.0405,0.5160,0.2515,0.0745
139,-0.0174,0.0174,0.5047,0.2941,0.0927
140,-0.0260,0.0260,0.4567,0.2016,0.0535
141,-0.0446,0.0446,0.3975,0.2501,0.0352
142,-0.0139,0.0139,0.4670,0.2333,0.0498
143,-0.0368,0.0368,0.3980,0.2685,0.0650
144,-0.0108,0.0108,0.4260,0.2153,0.1207
145,-0.0272,0.0272,0.4661,0.2379,0.0418
146,-0.0355,0.0355,0.4048,0.2443,0.0544
147,-0.0409,0.0409,0.3968,0.2341,0.0508
148,-0.0489,0.0489,0.4926,0.2285,0.0825
149,-0.0320,0.0320,0.4601,0.2031,0.0804
150,-0.0449,0.0449,0.4974,0.2541,0.1013
