Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,AverageFitness
1,-0.1000,0.1000,900,10,0.6500,0.3000,0.2500,0.0509
2,-0.1000,0.1000,900,20,0.6500,0.3000,0.2500,0.0812
3,-0.1000,0.1000,900,30,0.6500,0.3000,0.2500,0.0967
4,-0.1000,0.1000,900,220,0.6500,0.3000,0.2500,0.1089
5,-0.1000,0.1000,900,240,0.6500,0.3000,0.2500,0.0477
6,-0.1000,0.1000,900,280,0.6500,0.3000,0.2500,0.0358
7,-0.1000,0.1000,900,500,0.6500,0.3000,0.2500,0.0694
8,-0.1000,0.1000,900,530,0.6500,0.3000,0.2500,0.0900
