Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,ActivationFunction,AverageFitness
77,-0.1000,0.1000,700,440,0.6000,0.6000,0.4500,TANH,0.1272
78,-0.1000,0.1000,300,113,0.2500,0.6500,0.4000,TANH,0.1115
79,-0.8500,0.8500,800,392,0.5500,0.3500,0.4500,SELU,0.1310
80,-0.2500,0.2500,500,316,0.2000,0.3500,0.3000,SELU,0.1336
81,-0.5500,0.5500,900,378,0.5000,0.3000,0.1500,SELU,0.0363
82,-0.2500,0.2500,600,295,0.4000,0.6000,0.4000,SELU,0.1087
83,-0.5500,0.5500,700,318,0.4000,0.8000,0.4000,SELU,0.1424
84,-0.5000,0.5000,900,500,0.5500,0.7000,0.1500,SELU,0.0588
85,-0.9500,0.9500,400,294,0.2500,0.4000,0.4500,TANH,0.1385
86,-0.5000,0.5000,600,291,0.5000,0.6000,0.5500,SELU,0.1217
87,-1.0000,1.0000,300,129,0.4000,0.3500,0.3500,SELU,0.1184
88,-0.7500,0.7500,200,140,0.6000,0.8000,0.5500,TANH,0.0843
89,-0.0000,0.0000,800,302,0.6000,0.3500,0.3500,SELU,0.1775
90,-0.4500,0.4500,600,335,0.3500,0.7000,0.3000,TANH,0.0814
91,-0.8500,0.8500,200,111,0.5000,0.3000,0.6000,SELU,0.1304
92,-0.7500,0.7500,200,76,0.6000,0.5500,0.3500,SELU,0.1579
93,-0.3500,0.3500,600,233,0.3500,0.6500,0.3000,SELU,0.1065
94,-0.2000,0.2000,600,400,0.6000,0.5000,0.4500,SELU,0.1154
95,-0.1000,0.1000,100,59,0.6000,0.5500,0.5000,SELU,0.1037
96,-1.0500,1.0500,900,336,0.4500,0.8000,0.2000,SELU,0.0699
97,-0.6500,0.6500,400,231,0.4000,0.7000,0.2500,TANH,0.0906
98,-0.6500,0.6500,800,341,0.6500,0.3500,0.4000,SELU,0.1344
99,-0.3500,0.3500,100,53,0.5500,0.4000,0.2500,SELU,0.0483
100,-1.0500,1.0500,100,59,0.3500,0.3500,0.3500,SELU,0.0880
101,-1.0000,1.0000,500,258,0.3000,0.6000,0.4500,SELU,0.1450
102,-0.4000,0.4000,200,80,0.2500,0.6000,0.4500,TANH,0.1510
103,-1.0500,1.0500,100,44,0.4000,0.8000,0.3000,TANH,0.1229
