Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,AverageFitness
85,-0.0000,0.0000,800,349,0.6000,0.5000,0.5000,0.1538
86,-0.4000,0.4000,900,349,0.7000,0.6000,0.4000,0.1071
87,-0.2000,0.2000,200,97,0.4000,0.5000,0.4000,0.1004
88,-0.3000,0.3000,700,522,0.7000,0.8000,0.6000,0.1363
89,-1.1000,1.1000,800,350,0.5000,0.3000,0.4000,0.1808
90,-0.4000,0.4000,700,396,0.3000,0.3000,0.4000,0.1576
91,-0.1000,0.1000,200,69,0.4000,0.4000,0.2000,0.0762
92,-1.1000,1.1000,500,376,0.2000,0.4000,0.2000,0.1384
93,-0.5000,0.5000,700,286,0.6000,0.7000,0.3000,0.1406
94,-0.7000,0.7000,600,353,0.6000,0.8000,0.5000,0.0946
95,-0.4000,0.4000,500,232,0.5000,0.6000,0.4000,0.1457
96,-0.9500,0.9500,100,42,0.3000,0.4000,0.6000,0.1437
97,-0.7500,0.7500,500,228,0.4000,0.5000,0.5000,0.0910
98,-0.9500,0.9500,200,80,0.7000,0.3000,0.2000,0.0671
99,-0.4500,0.4500,1000,740,0.4000,0.7000,0.5000,0.0972
100,-0.0000,0.0000,500,298,0.6000,0.7000,0.4000,0.1280
101,-0.7000,0.7000,900,300,0.6000,0.7000,0.6000,0.1160
102,-0.2500,0.2500,400,331,0.6000,0.3000,0.4000,0.0875
103,-0.9500,0.9500,300,110,0.7000,0.3000,0.6000,0.1579
104,-0.6500,0.6500,500,294,0.6000,0.4000,0.5000,0.1533
105,-0.6500,0.6500,1000,703,0.6000,0.3000,0.6000,0.1300
106,-1.1000,1.1000,600,273,0.5000,0.4000,0.3000,0.1374
107,-0.8000,0.8000,300,108,0.6000,0.8000,0.4000,0.1192
108,-0.5500,0.5500,700,394,0.4000,0.6000,0.4000,0.0510
109,-0.0500,0.0500,800,367,0.4000,0.3000,0.3000,0.0847
110,-0.5500,0.5500,200,106,0.6000,0.4000,0.5000,0.1166
111,-0.8500,0.8500,500,220,0.6000,0.8000,0.2000,0.0878
112,-1.1000,1.1000,300,166,0.5000,0.7000,0.2000,0.1168
113,-0.8500,0.8500,800,406,0.3000,0.4000,0.3000,0.1953
114,-0.9000,0.9000,800,647,0.2000,0.8000,0.4000,0.1269
115,-0.7500,0.7500,700,408,0.6000,0.5000,0.2000,0.0801
116,-0.9500,0.9500,300,145,0.3000,0.7000,0.3000,0.0997
117,-1.0000,1.0000,100,76,0.4000,0.3000,0.5000,0.1867
118,-0.5000,0.5000,800,514,0.3000,0.7000,0.6000,0.1576
119,-0.9500,0.9500,1000,333,0.3000,0.8000,0.2000,0.0961
120,-0.3000,0.3000,300,187,0.2000,0.7000,0.3000,0.1210
121,-0.9000,0.9000,400,213,0.7000,0.8000,0.3000,0.1111
122,-1.0500,1.0500,300,156,0.2000,0.3000,0.5000,0.0851
123,-0.3500,0.3500,700,400,0.4000,0.4000,0.5000,0.1155
