Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,AverageFitness
74,-0.1000,0.1000,350,143,0.6500,0.4000,0.2500,0.0851
75,-0.5500,0.5500,350,205,0.6500,0.4000,0.2500,0.1036
76,-0.5500,0.5500,350,143,0.6500,0.4000,0.2500,0.0412
77,-0.7000,0.7000,350,205,0.6500,0.4000,0.2500,0.0600
78,-0.7000,0.7000,350,143,0.6500,0.4000,0.2500,0.0826
79,-0.1000,0.1000,900,529,0.6500,0.4000,0.2500,0.0692
80,-0.1000,0.1000,900,368,0.6500,0.4000,0.2500,0.0735
81,-0.5500,0.5500,900,529,0.6500,0.4000,0.2500,0.0719
82,-0.5500,0.5500,900,368,0.6500,0.4000,0.2500,0.0676
83,-0.7000,0.7000,900,529,0.6500,0.4000,0.2500,0.0257
84,-0.7000,0.7000,900,368,0.6500,0.4000,0.2500,0.0480
85,-0.1000,0.1000,350,205,0.4500,0.4000,0.2500,0.0916
86,-0.1000,0.1000,350,143,0.4500,0.4000,0.2500,0.0816
87,-0.5500,0.5500,350,205,0.4500,0.4000,0.2500,0.1170
88,-0.5500,0.5500,350,143,0.4500,0.4000,0.2500,0.0964
89,-0.7000,0.7000,350,205,0.4500,0.4000,0.2500,0.1078
90,-0.7000,0.7000,350,143,0.4500,0.4000,0.2500,0.1181
91,-0.1000,0.1000,900,529,0.4500,0.4000,0.2500,0.0988
92,-0.1000,0.1000,900,368,0.4500,0.4000,0.2500,0.0556
93,-0.5500,0.5500,900,529,0.4500,0.4000,0.2500,0.0857
94,-0.5500,0.5500,900,368,0.4500,0.4000,0.2500,0.0758
95,-0.7000,0.7000,900,529,0.4500,0.4000,0.2500,0.0724
96,-0.7000,0.7000,900,368,0.4500,0.4000,0.2500,0.0688
