Iteration,MinGene,MaxGene,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,MutateChangeBest,AverageFitness
79,0.4699,-0.4699,290,0.6575,0.3716,0.2139,0.4752,0.2075
80,0.4800,-0.4800,283,0.6755,0.3922,0.2430,0.4697,0.1713
81,0.5509,-0.5509,319,0.6164,0.3824,0.2093,0.4571,0.2775
82,0.4585,-0.4585,309,0.5161,0.3221,0.2856,0.4511,0.2284
83,0.3906,-0.3906,272,0.5420,0.3046,0.2023,0.4765,0.2115
84,0.5719,-0.5719,302,0.6880,0.2885,0.1594,0.5453,0.2385
85,0.4047,-0.4047,294,0.5090,0.3426,0.2707,0.5231,0.2254
86,0.2293,-0.2293,284,0.6601,0.3951,0.2804,0.5396,0.2266
87,0.5806,-0.5806,303,0.5941,0.3025,0.2647,0.4369,0.2188
88,0.2201,-0.2201,279,0.6905,0.4076,0.2730,0.4959,0.1830
89,0.5104,-0.5104,313,0.6109,0.2869,0.2557,0.4215,0.1981
90,0.5948,-0.5948,297,0.5119,0.3275,0.2020,0.5392,0.2390
91,0.5893,-0.5893,294,0.6383,0.3898,0.1779,0.4182,0.2049
92,0.5674,-0.5674,303,0.6764,0.3026,0.2265,0.5474,0.2565
93,0.5400,-0.5400,307,0.6377,0.3177,0.2182,0.4141,0.2333
94,0.3701,-0.3701,280,0.5362,0.3910,0.2915,0.5101,0.1750
95,0.5855,-0.5855,312,0.5956,0.3166,0.1768,0.4426,0.2740
96,0.4633,-0.4633,314,0.5950,0.3129,0.1820,0.4843,0.2255
97,0.3138,-0.3138,280,0.5038,0.3087,0.1713,0.4355,0.2242
98,0.2473,-0.2473,272,0.6491,0.3221,0.1476,0.4498,0.2683
99,0.5702,-0.5702,300,0.6262,0.3630,0.2391,0.4927,0.2689
100,0.5592,-0.5592,260,0.6133,0.3901,0.2808,0.4492,0.1807
101,0.2660,-0.2660,298,0.5033,0.3398,0.2258,0.5498,0.1753
102,0.2285,-0.2285,285,0.5045,0.4087,0.2094,0.5259,0.1607
103,0.2962,-0.2962,302,0.6193,0.3268,0.2263,0.5360,0.2158
104,0.5586,-0.5586,320,0.6585,0.4012,0.1584,0.4424,0.2513
105,0.4863,-0.4863,288,0.5057,0.4100,0.2108,0.4112,0.2336
106,0.5911,-0.5911,299,0.6719,0.4045,0.2279,0.4517,0.1831
107,0.3107,-0.3107,268,0.5357,0.3068,0.2238,0.4853,0.1877
108,0.4753,-0.4753,287,0.5831,0.2967,0.2710,0.5067,0.1947
109,0.2914,-0.2914,282,0.6303,0.3191,0.2990,0.5135,0.1828
110,0.3589,-0.3589,281,0.5917,0.4185,0.2027,0.5290,0.1573
111,0.5944,-0.5944,285,0.6273,0.2839,0.2768,0.4184,0.2710
112,0.2353,-0.2353,261,0.5546,0.2982,0.1576,0.5128,0.3061
113,0.5996,-0.5996,296,0.6417,0.3454,0.1597,0.5008,0.2548
114,0.5026,-0.5026,318,0.6472,0.3978,0.1533,0.5187,0.2157
115,0.2539,-0.2539,307,0.6354,0.3638,0.1871,0.5304,0.1930
116,0.4919,-0.4919,290,0.6116,0.3323,0.2292,0.4382,0.2651
117,0.3347,-0.3347,303,0.6739,0.3278,0.2061,0.4245,0.2283
118,0.4346,-0.4346,289,0.6008,0.3778,0.2848,0.4423,0.1413
119,0.4008,-0.4008,318,0.5467,0.4013,0.2838,0.4195,0.1762
120,0.4595,-0.4595,310,0.5437,0.2955,0.2808,0.5029,0.2359
121,0.3030,-0.3030,300,0.5055,0.3924,0.2375,0.4102,0.2191
122,0.4142,-0.4142,292,0.6733,0.3949,0.1913,0.5056,0.1947
123,0.4193,-0.4193,308,0.5062,0.3934,0.1567,0.4789,0.3010
124,0.4739,-0.4739,303,0.6575,0.2949,0.2389,0.4821,0.2358
125,0.3930,-0.3930,302,0.6697,0.3157,0.2348,0.5093,0.2892
126,0.5616,-0.5616,271,0.5166,0.3910,0.2663,0.4218,0.1807
127,0.5962,-0.5962,260,0.5775,0.3126,0.2769,0.5299,0.2041
128,0.2210,-0.2210,302,0.5433,0.3752,0.2495,0.4707,0.2221
129,0.4475,-0.4475,306,0.6015,0.3241,0.2055,0.4959,0.2294
130,0.4348,-0.4348,282,0.5216,0.3304,0.2339,0.5282,0.1881
131,0.4335,-0.4335,262,0.5457,0.3767,0.1935,0.4284,0.2531
132,0.3134,-0.3134,268,0.6477,0.3691,0.2415,0.5083,0.1745
133,0.5291,-0.5291,272,0.6477,0.3762,0.2242,0.4642,0.2054
134,0.3778,-0.3778,288,0.6436,0.3702,0.2380,0.5238,0.2427
135,0.5588,-0.5588,317,0.6897,0.3495,0.2936,0.5263,0.2197
136,0.5184,-0.5184,276,0.6025,0.4110,0.1444,0.4643,0.2471
137,0.5176,-0.5176,276,0.6356,0.3979,0.2827,0.5265,0.1809
138,0.3624,-0.3624,298,0.5356,0.2950,0.2237,0.4365,0.1667
139,0.2197,-0.2197,311,0.5588,0.2859,0.1881,0.4300,0.3212
140,0.2287,-0.2287,289,0.5291,0.2932,0.1614,0.5456,0.2881
141,0.2762,-0.2762,264,0.5096,0.2859,0.2052,0.5025,0.3200
142,0.5525,-0.5525,302,0.6775,0.3971,0.2660,0.5175,0.2491
143,0.3411,-0.3411,264,0.5644,0.3919,0.2198,0.4100,0.2521
144,0.5277,-0.5277,265,0.6125,0.3727,0.1482,0.5215,0.2106
145,0.4448,-0.4448,307,0.5968,0.3013,0.1909,0.4251,0.2686
146,0.4960,-0.4960,275,0.5335,0.3543,0.1780,0.4486,0.2062
147,0.4181,-0.4181,297,0.5978,0.3222,0.2611,0.4163,0.1936
148,0.2047,-0.2047,286,0.6533,0.3280,0.2354,0.5186,0.1921
149,0.3525,-0.3525,269,0.6746,0.4056,0.1955,0.4268,0.2236
150,0.5389,-0.5389,281,0.6967,0.4059,0.2743,0.5111,0.1854
151,0.3288,-0.3288,279,0.6878,0.3861,0.2088,0.5354,0.1912
152,0.5612,-0.5612,268,0.5133,0.3338,0.2993,0.5190,0.1914
153,0.5048,-0.5048,310,0.6411,0.2867,0.2393,0.4002,0.3303
154,0.4473,-0.4473,278,0.6555,0.3845,0.1512,0.4007,0.2797
155,0.2187,-0.2187,260,0.6681,0.3353,0.2740,0.5157,0.2156
156,0.3908,-0.3908,290,0.5820,0.3594,0.2797,0.4647,0.1903
157,0.5339,-0.5339,262,0.5893,0.3891,0.2632,0.4438,0.1957
158,0.4788,-0.4788,295,0.5101,0.2827,0.1509,0.5400,0.2607
159,0.5126,-0.5126,279,0.6078,0.2801,0.1463,0.4345,0.2809
160,0.3662,-0.3662,316,0.6101,0.4183,0.2293,0.4751,0.2144
