Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,ActivationFunction,AverageFitness
88,-0.75,0.75,200,140,0.6,0.8,0.55,TANH,0.0843
89,0,0,800,302,0.6,0.35,0.35,SELU,0.1775
90,-0.45,0.45,600,335,0.35,0.7,0.3,TANH,0.0814
91,-0.85,0.85,200,111,0.5,0.3,0.6,SELU,0.1304
92,-0.75,0.75,200,76,0.6,0.55,0.35,SELU,0.1579
93,-0.35,0.35,600,233,0.35,0.65,0.3,SELU,0.1065
94,-0.2,0.2,600,400,0.6,0.5,0.45,SELU,0.1154
95,-0.1,0.1,100,59,0.6,0.55,0.5,SELU,0.1037
96,-1.05,1.05,900,336,0.45,0.8,0.2,SELU,0.0699
97,-0.65,0.65,400,231,0.4,0.7,0.25,TANH,0.0906
98,-0.65,0.65,800,341,0.65,0.35,0.4,SELU,0.1344
99,-0.35,0.35,100,53,0.55,0.4,0.25,SELU,0.0483
100,-1.05,1.05,100,59,0.35,0.35,0.35,SELU,0.088
101,-1,1,500,258,0.3,0.6,0.45,SELU,0.145
102,-0.4,0.4,200,80,0.25,0.6,0.45,TANH,0.151
103,-1.05,1.05,100,44,0.4,0.8,0.3,TANH,0.1229
104,-0.25,0.25,500,299,0.3,0.7,0.25,TANH,0.1126
105,-0.95,0.95,100,48,0.65,0.4,0.25,TANH,0.1471
106,-0.2,0.2,500,304,0.45,0.65,0.3,SELU,0.0559
107,-0.95,0.95,200,79,0.4,0.7,0.6,SELU,0.1772
108,-0.5,0.5,900,500,0.35,0.55,0.5,SELU,0.1099
109,-1,1,400,149,0.25,0.55,0.25,TANH,0.1117
110,-0.95,0.95,800,375,0.5,0.35,0.45,TANH,0.171
111,-1.05,1.05,800,401,0.3,0.75,0.6,SELU,0.1582
112,-0.45,0.45,300,120,0.3,0.6,0.35,SELU,0.1266
113,-0.35,0.35,800,500,0.5,0.5,0.35,SELU,0.0903
114,-0.75,0.75,600,366,0.3,0.45,0.55,TANH,0.1192
115,-1,1,500,219,0.45,0.8,0.35,SELU,0.1215
116,-0.25,0.25,400,157,0.35,0.7,0.2,SELU,0.053
117,-0.9,0.9,300,136,0.55,0.75,0.2,SELU,0.0647
118,-0.8,0.8,100,72,0.5,0.8,0.25,SELU,0.0692
119,-0.25,0.25,900,389,0.7,0.35,0.55,TANH,0.0992
120,-0.05,0.05,300,152,0.65,0.6,0.3,SELU,0.1153
121,-0.1,0.1,800,342,0.55,0.7,0.2,SELU,0.1096
122,-0.15,0.15,300,166,0.6,0.5,0.5,SELU,0.0718
123,-0.45,0.45,1000,500,0.3,0.55,0.35,SELU,0.1448
124,-0.85,0.85,900,500,0.35,0.6,0.15,TANH,0.0788
125,-0.55,0.55,300,122,0.7,0.45,0.4,SELU,0.1145
126,-0.55,0.55,900,361,0.65,0.65,0.25,SELU,0.0729
127,-1,1,200,85,0.6,0.65,0.25,SELU,0.1401
128,-0.5,0.5,400,291,0.2,0.55,0.2,SELU,0.1332
129,-0.15,0.15,300,112,0.3,0.75,0.15,TANH,0.0881
130,-1,1,500,215,0.3,0.35,0.55,TANH,0.0885
131,-0.4,0.4,400,189,0.35,0.45,0.5,SELU,0.1009
132,-0.25,0.25,700,423,0.4,0.7,0.35,SELU,0.1276
133,-0.1,0.1,800,500,0.65,0.75,0.25,SELU,0.1002
134,-0.35,0.35,600,427,0.65,0.3,0.3,TANH,0.097
135,-0.95,0.95,200,126,0.35,0.4,0.5,SELU,0.1067
136,-0.95,0.95,100,37,0.5,0.7,0.4,TANH,0.1513
137,-0.45,0.45,500,192,0.55,0.6,0.55,TANH,0.1544
138,-0.05,0.05,300,230,0.25,0.7,0.2,SELU,0.0846
139,-1.05,1.05,100,38,0.4,0.6,0.25,TANH,0.1245
140,-0.4,0.4,700,390,0.5,0.7,0.3,SELU,0.0925
141,-0.15,0.15,800,430,0.6,0.8,0.25,SELU,0.1063
142,-0.6,0.6,300,224,0.4,0.8,0.55,SELU,0.1245
143,-0.5,0.5,900,378,0.2,0.55,0.2,TANH,0.0715
144,-0.55,0.55,300,123,0.35,0.45,0.25,SELU,0.0401
145,-0.55,0.55,800,311,0.65,0.3,0.3,SELU,0.0879
146,-0.35,0.35,300,133,0.45,0.55,0.3,SELU,0.1197
147,-0.5,0.5,600,396,0.5,0.4,0.45,TANH,0.1487
148,-1,1,300,118,0.4,0.45,0.2,SELU,0.0937
149,-0.7,0.7,400,259,0.55,0.5,0.2,TANH,0.1123
150,-1.05,1.05,700,323,0.25,0.5,0.3,TANH,0.0963
151,-0.85,0.85,600,367,0.5,0.65,0.25,SELU,0.1462
152,-0.6,0.6,900,345,0.25,0.65,0.35,SELU,0.1201
153,-0.7,0.7,700,414,0.55,0.6,0.55,SELU,0.1273
154,-0.4,0.4,600,264,0.45,0.5,0.45,TANH,0.1097
155,-0.4,0.4,500,313,0.25,0.75,0.4,SELU,0.1283
156,-0.65,0.65,500,363,0.4,0.75,0.2,SELU,0.0774
157,-0.05,0.05,800,321,0.25,0.4,0.2,SELU,0.0556
158,-0.95,0.95,900,484,0.45,0.45,0.45,TANH,0.1215
159,-1.05,1.05,100,39,0.2,0.35,0.2,SELU,0.143
160,-0.85,0.85,400,178,0.35,0.3,0.2,SELU,0.0846
161,-0.6,0.6,900,494,0.6,0.55,0.5,SELU,0.1235
162,-0.2,0.2,400,157,0.45,0.45,0.35,SELU,0.1895
163,-0.1,0.1,900,342,0.5,0.6,0.4,SELU,0.1322
164,-0.3,0.3,700,293,0.3,0.35,0.25,SELU,0.0992
165,-0.75,0.75,800,500,0.35,0.3,0.35,SELU,0.1279
166,-0.55,0.55,900,344,0.45,0.45,0.35,SELU,0.1445
167,-0.55,0.55,700,361,0.25,0.5,0.35,SELU,0.1598
168,-0.75,0.75,500,186,0.45,0.55,0.55,SELU,0.1015
169,-0.15,0.15,100,50,0.5,0.3,0.5,SELU,0.1084
170,-0.05,0.05,100,42,0.25,0.65,0.55,SELU,0.1143
171,-0.2,0.2,700,499,0.55,0.5,0.35,SELU,0.066
172,-0.9,0.9,600,290,0.5,0.45,0.45,SELU,0.1299
173,-0.1,0.1,900,362,0.35,0.35,0.6,SELU,0.1662
174,-0.5,0.5,200,127,0.6,0.45,0.5,SELU,0.09
175,-0.35,0.35,800,309,0.25,0.65,0.45,SELU,0.0988
176,-0.1,0.1,900,500,0.45,0.6,0.4,SELU,0.1001
177,-0.4,0.4,100,65,0.25,0.35,0.45,TANH,0.1036
178,-0.8,0.8,200,78,0.45,0.55,0.3,SELU,0.1774
179,-0.15,0.15,200,121,0.2,0.7,0.35,SELU,0.1351
180,-0.1,0.1,500,349,0.65,0.6,0.35,TANH,0.0666
181,-0.6,0.6,800,500,0.25,0.35,0.2,SELU,0.072
182,-0.9,0.9,300,164,0.55,0.45,0.25,SELU,0.0549
183,-0.35,0.35,700,354,0.65,0.35,0.25,SELU,0.0827
184,-0.35,0.35,500,227,0.55,0.4,0.25,TANH,0.1003
185,-0.15,0.15,300,161,0.5,0.75,0.35,SELU,0.0937
186,-0.1,0.1,700,344,0.5,0.45,0.3,TANH,0.0891
187,-0.9,0.9,700,358,0.4,0.6,0.45,SELU,0.1535
188,-0.65,0.65,300,133,0.25,0.3,0.35,SELU,0.1089
189,-0.15,0.15,100,40,0.4,0.3,0.2,TANH,0.0961
190,-0.4,0.4,600,330,0.65,0.55,0.45,SELU,0.1019
191,-0.3,0.3,900,477,0.4,0.55,0.25,TANH,0.096
192,-0.65,0.65,900,479,0.6,0.5,0.6,TANH,0.0745
193,-0.95,0.95,100,40,0.25,0.65,0.35,SELU,0.1727
194,-0.05,0.05,500,368,0.5,0.4,0.4,SELU,0.0948
195,-0.45,0.45,200,116,0.3,0.8,0.25,SELU,0.1254
196,-0.2,0.2,200,80,0.4,0.4,0.55,SELU,0.1121
197,-0.3,0.3,700,353,0.35,0.7,0.5,TANH,0.1534
198,-0.55,0.55,100,46,0.3,0.65,0.5,SELU,0.1569
199,-0.3,0.3,100,37,0.45,0.35,0.45,SELU,0.1036
200,-0.15,0.15,400,160,0.4,0.7,0.25,TANH,0.1134
201,-0.25,0.25,800,472,0.65,0.7,0.4,SELU,0.0964
202,-0.5,0.5,500,212,0.35,0.5,0.25,SELU,0.0759
203,-0.1,0.1,800,302,0.7,0.7,0.4,SELU,0.1073
204,-0.7,0.7,200,120,0.6,0.4,0.25,TANH,0.1253
