Iteration,MinGene,MaxGene,PopSize,TournamentSize,PreserveElitePercentage,MutateChangePopulation,MaxMutationRate,ActivationFunction,AverageFitness
383,-0.4,0.4,800,285,0.3,0.6,0.4,TANH,0.0849
384,-0.5,0.5,400,143,0.6,0.7,0.6,TANH,0.1476
385,-0.85,0.85,600,264,0.5,0.4,0.3,TANH,0.0814
386,-0.45,0.45,300,208,0.5,0.7,0.5,TANH,0.1024
387,-0.5,0.5,200,73,0.7,0.7,0.4,TANH,0.1942
388,-0.05,0.05,900,320,0.4,0.6,0.2,TANH,0.0898
389,-1,1,100,39,0.5,0.8,0.3,TANH,0.0589
390,-0.5,0.5,500,231,0.7,0.4,0.4,TANH,0.1203
391,-0.95,0.95,900,552,0.5,0.7,0.6,TANH,0.1209
392,-0.95,0.95,1000,622,0.5,0.6,0.3,TANH,0.1145
393,-0.35,0.35,500,232,0.4,0.5,0.4,TANH,0.1427
394,-0.35,0.35,600,227,0.6,0.6,0.5,TANH,0.1581
395,-0.35,0.35,600,205,0.4,0.6,0.4,TANH,0.1308
396,-0.3,0.3,800,318,0.3,0.4,0.4,TANH,0.1254
397,-1.1,1.1,400,158,0.6,0.4,0.5,TANH,0.1276
398,-0.8,0.8,800,339,0.6,0.5,0.2,TANH,0.0865
399,-0.1,0.1,100,45,0.6,0.5,0.4,TANH,0.0812
400,-0.1,0.1,100,78,0.4,0.4,0.5,TANH,0.1577
401,-0.4,0.4,700,282,0.7,0.7,0.2,TANH,0.0965
402,-0.45,0.45,100,60,0.5,0.4,0.3,TANH,0.1228
403,-0.45,0.45,200,70,0.2,0.6,0.3,TANH,0.1423
404,-0.75,0.75,900,330,0.3,0.3,0.5,TANH,0.1427
405,0,0,800,349,0.6,0.5,0.5,TANH,0.1538
406,-0.4,0.4,900,349,0.7,0.6,0.4,TANH,0.1071
407,-0.2,0.2,200,97,0.4,0.5,0.4,TANH,0.1004
408,-0.3,0.3,700,522,0.7,0.8,0.6,TANH,0.1363
409,-1.1,1.1,800,350,0.5,0.3,0.4,TANH,0.1808
410,-0.4,0.4,700,396,0.3,0.3,0.4,TANH,0.1576
411,-0.1,0.1,200,69,0.4,0.4,0.2,TANH,0.0762
412,-1.1,1.1,500,376,0.2,0.4,0.2,TANH,0.1384
413,-0.5,0.5,700,286,0.6,0.7,0.3,TANH,0.1406
414,-0.7,0.7,600,353,0.6,0.8,0.5,TANH,0.0946
415,-0.4,0.4,500,232,0.5,0.6,0.4,TANH,0.1457
416,-0.95,0.95,100,42,0.3,0.4,0.6,TANH,0.1437
417,-0.75,0.75,500,228,0.4,0.5,0.5,TANH,0.091
418,-0.95,0.95,200,80,0.7,0.3,0.2,TANH,0.0671
419,-0.45,0.45,1000,740,0.4,0.7,0.5,TANH,0.0972
420,0,0,500,298,0.6,0.7,0.4,TANH,0.128
421,-0.7,0.7,900,300,0.6,0.7,0.6,TANH,0.116
422,-0.25,0.25,400,331,0.6,0.3,0.4,TANH,0.0875
423,-0.95,0.95,300,110,0.7,0.3,0.6,TANH,0.1579
424,-0.65,0.65,500,294,0.6,0.4,0.5,TANH,0.1533
425,-0.65,0.65,1000,703,0.6,0.3,0.6,TANH,0.13
426,-1.1,1.1,600,273,0.5,0.4,0.3,TANH,0.1374
427,-0.8,0.8,300,108,0.6,0.8,0.4,TANH,0.1192
428,-0.55,0.55,700,394,0.4,0.6,0.4,TANH,0.051
429,-0.05,0.05,800,367,0.4,0.3,0.3,TANH,0.0847
430,-0.55,0.55,200,106,0.6,0.4,0.5,TANH,0.1166
431,-0.85,0.85,500,220,0.6,0.8,0.2,TANH,0.0878
432,-1.1,1.1,300,166,0.5,0.7,0.2,TANH,0.1168
433,-0.85,0.85,800,406,0.3,0.4,0.3,TANH,0.1953
434,-0.9,0.9,800,647,0.2,0.8,0.4,TANH,0.1269
435,-0.75,0.75,700,408,0.6,0.5,0.2,TANH,0.0801
436,-0.95,0.95,300,145,0.3,0.7,0.3,TANH,0.0997
437,-1,1,100,76,0.4,0.3,0.5,TANH,0.1867
438,-0.5,0.5,800,514,0.3,0.7,0.6,TANH,0.1576
439,-0.95,0.95,1000,333,0.3,0.8,0.2,TANH,0.0961
440,-0.3,0.3,300,187,0.2,0.7,0.3,TANH,0.121
441,-0.9,0.9,400,213,0.7,0.8,0.3,TANH,0.1111
442,-1.05,1.05,300,156,0.2,0.3,0.5,TANH,0.0851
443,-0.35,0.35,700,400,0.4,0.4,0.5,TANH,0.1155
